,crop_type,country,average_production,percent
67,maize,Iran,1073604.0,0.0967%
35,maize,Côte d'Ivoire,1058518.0,0.0953%
15,maize,Bolivia,1033226.0,0.0931%
153,maize,Zimbabwe,993158.3333333334,0.0895%
139,maize,Togo,859993.6666666666,0.0775%
43,maize,El Salvador,815936.6666666666,0.0735%
59,maize,Guinea,815209.5,0.0734%
22,maize,Cambodia,815000.0,0.0734%
114,maize,Portugal,739063.5,0.0666%
63,maize,Honduras,648597.5,0.0584%
146,maize,Uruguay,554183.3333333334,0.0499%
11,maize,Belgium-Luxembourg,486226.5,0.0438%
124,maize,Senegal,451895.1666666667,0.0407%
26,maize,Chad,408276.6666666667,0.0368%
118,maize,Rwanda,399479.8333333333,0.0360%
1,maize,Albania,386658.8333333333,0.0348%
6,maize,Australia,385468.8333333333,0.0347%
101,maize,Nicaragua,379489.5,0.0342%
33,maize,Cuba,341913.8333333333,0.0308%
68,maize,Iraq,290764.3333333333,0.0262%
81,maize,Madagascar,264381.3333333333,0.0238%
20,maize,Burundi,242353.16666666666,0.0218%
0,maize,Afghanistan,227445.83333333334,0.0205%
130,maize,Sri Lanka,211485.5,0.0190%
100,maize,New Zealand,198372.5,0.0179%
135,maize,Syria,161678.0,0.0146%
134,maize,Switzerland,158172.0,0.0142%
105,maize,North Macedonia,149249.83333333334,0.0134%
131,maize,Sudan,143764.5,0.0129%
62,maize,Haiti,138938.33333333334,0.0125%
108,maize,Panama,121875.33333333333,0.0110%
98,maize,Netherlands,120972.66666666667,0.0109%
123,maize,Saudi Arabia,93276.66666666667,0.0084%
92,maize,Morocco,89160.83333333333,0.0080%
25,maize,Central African Rep.,88801.66666666667,0.0080%
45,maize,Eswatini,82333.33333333333,0.0074%
126,maize,Somalia,81166.66666666667,0.0073%
70,maize,Israel,80497.66666666667,0.0073%
128,maize,South Korea,78437.5,0.0071%
79,maize,Lesotho,77002.66666666667,0.0069%
12,maize,Belize,72025.66666666667,0.0065%
14,maize,Bhutan,67043.33333333333,0.0060%
83,maize,Malaysia,66250.0,0.0060%
138,maize,Timor-Leste,61393.5,0.0055%
95,maize,Namibia,47150.166666666664,0.0042%
40,maize,Dominican Rep.,44151.333333333336,0.0040%
37,maize,Denmark,41740.0,0.0038%
150,maize,Yemen,40162.0,0.0036%
102,maize,Niger,37631.166666666664,0.0034%
52,maize,Gambia,26333.333333333332,0.0024%
125,maize,Sierra Leone,24301.0,0.0022%
51,maize,Gabon,22285.666666666668,0.0020%
74,maize,Jordan,21964.833333333332,0.0020%
44,maize,Eritrea,20000.0,0.0018%
16,maize,Botswana,18319.166666666668,0.0017%
32,maize,Costa Rica,11647.333333333334,0.0010%
87,maize,Mauritania,11596.0,0.0010%
76,maize,Kuwait,10756.333333333334,0.0010%
109,maize,Papua New Guinea,10353.333333333334,0.0009%
143,maize,United Arab Emirates,10178.0,0.0009%
99,maize,New Caledonia,8965.5,0.0008%
106,maize,Oman,7906.0,0.0007%
60,maize,Guinea-Bissau,6666.666666666667,0.0006%
30,maize,Comoros,5215.333333333333,0.0005%
31,maize,Congo,4500.0,0.0004%
2,maize,Algeria,4036.0,0.0004%
61,maize,Guyana,4000.0,0.0004%
80,maize,Libya,2821.8333333333335,0.0003%
78,maize,Lebanon,2768.1666666666665,0.0002%
21,maize,Cabo Verde,2685.6666666666665,0.0002%
91,maize,Montenegro,2268.5,0.0002%
72,maize,Jamaica,2246.5,0.0002%
140,maize,Trinidad and Tobago,1666.6666666666667,0.0002%
47,maize,Fiji,1202.1666666666667,0.0001%
121,maize,Saint Vincent and the Grenadines,924.6666666666666,0.0001%
116,maize,Qatar,921.1666666666666,0.0001%
8,maize,Bahamas,538.5,0.0000%
88,maize,Mauritius,493.1666666666667,0.0000%
122,maize,Sao Tome and Principe,380.8333333333333,0.0000%
56,maize,Grenada,318.6666666666667,0.0000%
73,maize,Japan,137.83333333333334,0.0000%
84,maize,Maldives,95.66666666666667,0.0000%
132,maize,Suriname,80.66666666666667,0.0000%
10,maize,Barbados,73.83333333333333,0.0000%
90,maize,Micronesia (Federated States of),59.333333333333336,0.0000%
115,maize,Puerto Rico,19.666666666666668,0.0000%
38,maize,Djibouti,14.166666666666666,0.0000%
4,maize,Antigua and Barbuda,1.8333333333333333,0.0000%
119,maize,Réunion,0.0,0.0000%
120,maize,Saint Lucia,0.0,0.0000%
147,maize,Vanuatu,0.0,0.0000%
142,maize,Uganda,0.0,0.0000%
144,maize,United Kingdom,0.0,0.0000%
50,maize,French Guyana,0.0,0.0000%
86,maize,Malta,0.0,0.0000%
69,maize,Ireland,0.0,0.0000%
96,maize,Nauru,0.0,0.0000%
39,maize,Dominica,0.0,0.0000%
133,maize,Sweden,0.0,0.0000%
57,maize,Guadeloupe,0.0,0.0000%
